fam;a4;a5
id-1069;0,07;-0,33
id-1070;-0,24;-0,75
id-1071;0,16;-0,3
id-1072;0,2;-0,35
id-1073;0,29;-0,25
id-1074;0,24;-0,3
id-1075;0,24;-0,25
id-1076;0,2;-0,2
id-1077;0,11;-0,28
id-1078;0,29;-0,3
id-1079;0,16;-0,3
id-1080;0,02;-0,35
id-1081;0,33;-0,3
id-1082;0,29;-0,25
id-1083;0,24;-0,25
id-1084;0,16;-0,4
id-1085;0,16;-0,35
id-1086;0,11;-0,3
id-1087;0,33;-0,15
id-1088;0,2;-0,25
id-1089;0,24;-0,25
id-1090;0,16;-0,4
id-1091;0,11;-0,3
id-1092;0,29;-0,15
id-1093;0,29;-0,25
id-1094;0,02;-0,25
id-1095;0,29;-0,18
id-1096;0,16;-0,28
id-1097;0,16;-0,3
id-1098;0,2;-0,35
id-1099;0,33;-0,5
id-1100;0,24;-0,3
id-1101;0,24;-0,3
id-1102;0,16;-0,35
id-1103;0,11;-0,3
id-1104;0,29;-0,1
id-1105;0,38;-0,15
id-1106;0,16;-0,4
id-1107;0,2;-0,35
id-1108;0,11;-0,28
id-1109;0,33;-0,35
id-1110;0,24;-0,35
id-1111;0,24;-0,3
id-1112;0,29;-0,4
id-1113;0,16;-0,4
id-1114;0,24;-0,25
id-1115;0,33;-0,2
id-1116;0,29;-0,36
id-1117;0,11;-0,35
id-1118;0,29;0
id-1119;0,07;-0,4
id-1120;0,02;-0,35
id-1121;-0,29;-0,5
id-1122;0,11;-0,35
id-1123;0,24;-0,35
id-1124;0,11;-0,35
id-1125;0,16;-0,4
id-1126;0,33;-0,2
id-1127;0,2;-0,25
id-1128;0,11;-0,33
id-1129;0,29;-0,3
id-1130;0,33;-0,35
id-1131;-0,02;-0,5
id-1132;0,33;-0,3
id-1133;0,2;-0,25
id-1134;0,2;-0,35
id-1135;0,16;-0,28
id-1136;0,24;-0,15
id-1137;0,24;-0,08
id-1138;0,24;-0,3
id-1139;0,11;-0,35
id-1140;0,2;-0,2
id-1141;-0,29;-0,6
id-1142;0,33;-0,3
id-1143;0,16;-0,2
id-1144;0,16;-0,25
id-1145;0,38;-0,25
id-1146;0,24;-0,25
id-1147;0,29;-0,35
id-1148;0,33;-0,25
id-1149;0,2;-0,3
id-1150;0,33;-0,35
id-1151;0,11;-0,45
id-1152;0,2;-0,3
id-1153;0,2;-0,25
id-1154;0,29;-0,3
id-1155;0,11;-0,35
id-1156;0,16;-0,1
id-1157;0,2;-0,3
id-1158;0,16;-0,3
id-1159;0,24;-0,35
id-1160;0,16;-0,35
id-1161;0,16;-0,35
id-1162;0,47;-0,1
id-1163;0,02;-0,35
id-1164;0,16;-0,3
id-1165;-0,42;-0,6
id-1166;0,11;-0,25
id-1167;0,11;-0,45
id-1168;0,16;-0,35
id-1169;0,24;-0,25
id-1170;-0,56;-0,33
id-1171;0,16;-0,25
id-1172;0,29;-0,2
id-1173;0,24;-0,35
id-1174;0,2;-0,35
id-1175;0,11;-0,25
id-1176;0,16;-0,25
id-1177;0,11;-0,4
id-1178;0,29;-0,3
id-1179;0,16;-0,3
id-1180;0,16;-0,35
id-1181;0,29;-0,3
id-1182;0,07;-0,35
id-1183;0,2;-0,3
id-1184;0,16;-0,3
id-1185;0,2;-0,3
id-1186;-0,02;-0,48
id-1187;0,16;-0,3
id-1188;0,2;-0,3
id-1189;0,2;-0,25
id-1190;0,2;-0,3
id-1191;0,33;-0,15
id-1192;0,38;-0,15
id-1193;0,42;-0,3
id-1194;0,24;-0,3
id-1195;0,24;-0,25
id-1196;0,29;-0,2
id-1197;0,16;-0,25
id-1198;0,24;-0,3
id-1199;0,2;-0,2
id-1200;0,2;-0,3
id-1201;0,16;-0,3
id-1202;0,11;-0,35
id-1203;0,33;-0,25
id-1204;0,02;-0,5
id-1205;-0,02;-0,45
id-1206;0,2;-0,3
id-1207;0,24;-0,35
id-1208;0,24;-0,3
id-1209;0,29;-0,15
id-1210;0,02;-0,35
id-1211;0,2;-0,2
id-1212;0,24;-0,3
id-1213;0,2;-0,35
id-1214;0,2;-0,25
id-1215;0,07;-0,15
id-1216;0,11;-0,35
id-1217;-0,07;-0,4
id-1218;0,2;-0,4
id-1219;0,29;-0,2
id-1220;-0,2;-0,15
id-1221;0,2;-0,35
id-1222;0,11;-0,35
id-1223;0,33;-0,2
id-1224;0,2;-0,3
id-1225;0,16;-0,35
id-1226;0,24;-0,25
id-1227;0,24;-0,23
id-1228;-0,16;-0,4
id-1229;0,11;-0,3
id-1230;0,2;-0,25
id-1231;0,2;-0,45
id-1232;0,24;-0,2
id-1233;0,24;-0,15
id-1234;0,42;-0,2
id-1235;0,33;-0,35
id-1236;0,16;-0,35
id-1237;0,29;-0,28
id-1238;0,24;-0,25
id-1239;0,2;-0,3
id-1240;0,24;-0,25
id-1241;0,11;-0,3
id-1242;0,07;-0,28
id-1243;0,2;-0,35
id-1244;0,16;-0,3
id-1245;0,16;-0,3
id-1246;0,33;-0,2
id-1247;0,24;-0,3
id-1248;0,2;-0,35
id-1249;0,29;-0,15
id-1250;0,11;-0,3
id-1251;0,11;-0,2
id-1252;0,2;-0,25
id-1253;-0,16;-0,35
id-1254;0,11;-0,45
id-1255;-0,07;-0,43
id-1256;0,29;-0,2
id-1257;0,16;-0,35
id-1258;0,02;-0,4
id-1259;0,29;-0,25
id-1260;0,38;-0,2
id-1261;0,16;-0,28
id-1262;0,16;-0,35
id-1263;0,29;-0,3
id-1264;0,2;-0,35
id-1265;0,47;-0,35
id-1266;0,16;-0,35
id-1267;0,11;-0,35
id-1268;0,2;-0,2
id-1269;0,6;-0,2
id-1270;0,16;-0,2
id-1271;0,24;-0,2
id-1272;0,16;-0,5
id-1273;0,24;-0,4
id-1274;0,2;-0,35
id-1275;0,16;-0,35
id-1276;0,47;-0,15
id-1277;0,07;-0,45
id-1278;0,33;-0,2
id-1279;0,11;-0,3
id-1280;-0,02;-0,2
id-1281;0,29;-0,3
id-1282;0,33;-0,05
id-1283;0,07;-0,4
id-1284;0,16;-0,3
id-1285;0,2;-0,35
id-1286;0,2;-0,45
id-1287;0,16;-0,3
id-1288;0,29;-0,3
id-1289;0,24;-0,25
id-1290;0,11;-0,3
id-1291;0,2;-0,18
id-1292;0,29;-0,35
id-1293;0,42;-0,3
id-1294;0,11;-0,3
id-1295;0,29;-0,25
id-1296;0,16;-0,35
id-1297;0,2;-0,35
id-1298;0,29;-0,25
id-1299;0,2;-0,3
id-1300;0,33;-0,2
id-1301;0,02;-0,4
id-1302;0,11;-0,2
id-1303;0,11;-0,35
id-1304;0,07;-0,3
id-1305;0,11;-0,25
id-1306;-0,07;-0,5
id-1307;0,2;-0,3
id-1308;0,33;-0,15
id-1309;0,16;-0,4
id-1310;0,02;-0,35
id-1311;0,51;-0,2
id-1312;0,24;-0,3
id-1313;0,29;-0,25
id-1314;0,11;-0,3
id-1315;0,2;-0,35
id-1316;0,29;-0,3
id-1317;0,16;-0,35
id-1318;0,64;-0,05
id-1319;0,11;-0,25
id-1320;0,33;-0,25
id-1321;0,2;-0,35
id-1322;0,16;-0,4
id-1323;0,11;-0,4
id-1324;0,11;-0,35
id-1325;0,29;-0,35
id-1326;0,11;-0,3
id-1327;0,29;-0,3
id-1328;0,02;-0,3
id-1329;0,16;-0,3
id-1330;0,24;-0,25
id-1331;0,11;-0,25
id-1332;0,29;-0,2
id-1333;0,2;-0,3
id-1334;0,29;-0,1
id-1335;-0,24;-0,45
id-1336;0,24;-0,25
id-1337;0,33;-0,3
id-1338;0,33;-0,15
id-1339;0,29;-0,3
id-1340;0,11;-0,35
id-1341;0,16;-0,4
id-1342;0,16;-0,25
id-1343;0,24;-0,4
id-1344;0,2;-0,3
id-1345;0,33;-0,4
id-1346;0,11;-0,4
id-1347;0,29;-0,25
id-1348;0,24;-0,3
id-1349;0,02;-0,35
id-1350;0,2;-0,3
id-1351;0,11;-0,3
id-1352;0,24;-0,2
id-1353;0,24;-0,25
id-1354;0,2;-0,3
id-1355;-0,02;-0,35
id-1356;-0,02;-0,45
id-1357;0,16;-0,4
id-1358;0,29;-0,3
id-1359;0,11;-0,4
id-1360;0,2;-0,35
id-1361;0,11;-0,3
id-1362;0,2;-0,35
id-1363;0,2;-0,35
id-1364;0,47;-0,25
id-1365;0,11;-0,3
id-1366;0,24;-0,3
id-1367;0,24;-0,3
id-1368;0,24;-0,2
id-1369;0,02;-0,4
id-1370;0,16;-0,35
id-1371;0,16;-0,3
id-1372;0,16;-0,4
id-1373;0,24;-0,2
id-1374;0,2;-0,25
id-1375;0,11;-0,4
id-1376;0,2;-0,35
id-1377;0,24;-0,35
id-1378;0,16;-0,3
id-1379;0,33;-0,35
id-1380;0,29;-0,25
id-1381;0,33;-0,15
id-1382;0,33;-0,15
id-1383;0,11;-0,3
id-1384;0,16;-0,28
id-1385;0,11;-0,3
id-1386;0,2;-0,25
id-1387;0,33;-0,2
id-1388;0,2;-0,35
id-1389;0,2;-0,3
id-1390;0,07;-0,25
id-1391;0,24;-0,1
id-1392;0,2;-0,25
id-1393;0,11;-0,35
id-1394;0,24;-0,3
id-1395;0,11;-0,35
id-1396;0,07;-0,32
id-1397;0,2;-0,35
id-1398;0,38;0,05
id-1399;0,2;-0,25
id-1400;0,24;-0,28
id-1401;0,24;-0,15
id-1402;0,24;-0,2
id-1403;0,24;-0,15
id-1404;0,2;-0,4
id-1405;0,11;-0,35
id-1406;0,24;-0,25
id-1407;0,11;-0,3
id-1408;0,51;-0,1
id-1409;0,16;-0,23
id-1410;0,16;-0,4
id-1411;0,33;-0,2
id-1412;0,11;-0,45
id-1413;0,2;-0,35
id-1414;0,11;-0,35
id-1415;0,24;-0,25
id-1416;0,16;-0,3
id-1417;0,2;-0,3
id-1418;0,24;-0,25
id-1419;0,29;-0,35
id-1420;0,38;-0,05
id-1421;0,2;-0,2
id-1422;0,29;-0,2
id-1423;0,33;-0,23
id-1424;0,38;-0,4
id-1425;0,33;-0,25
id-1426;0,11;-0,4
id-1427;0,11;-0,25
id-1428;0,11;-0,35
id-1429;0,29;-0,3
id-1430;0,16;-0,3
id-1431;0,16;-0,25
id-1432;0,24;-0,23
id-1433;0,16;-0,3
id-1434;0,2;-0,35
id-1435;0,2;-0,2
id-1436;0,02;-0,25
id-1437;0,29;-0,2
id-1438;0,2;-0,3
id-1439;0,07;-0,3
id-1440;0,2;-0,3
id-1441;0,16;0,65
id-1442;0,07;-0,4
id-1443;0,33;-0,15
id-1444;0,47;-0,25
id-1445;0,16;-0,4
id-1446;0,02;-0,35
id-1447;0,24;-0,15
id-1448;0,24;-0,3
id-1449;0,16;-0,3
id-1450;0,11;-0,25
id-1451;0,2;-0,4
id-1452;0,24;-0,23
id-1453;0,24;-0,25
id-1454;0,2;-0,35
id-1455;0,29;-0,33
id-1456;0,2;-0,3
id-1457;0,16;-0,25
id-1458;0,11;-0,4
id-1459;0,2;-0,3
id-1460;0,33;-0,25
id-1461;0,2;-0,35
id-1462;0,16;-0,4
id-1463;0,33;-0,25
id-1464;0,11;-0,3
id-1465;0,2;-0,3
id-1466;0,2;-0,25
id-1467;0,11;-0,25
id-1468;0,2;-0,25
id-1469;-0,02;-0,4
id-1470;0,2;-0,35
id-1471;0,2;-0,3
id-1472;0,38;-0,25
id-1473;0,2;-0,35
id-1474;0,11;-0,35
id-1475;0,2;-0,35
id-1476;0,11;-0,4
id-1477;0,11;-0,35
id-1478;0,2;-0,3
id-1479;0,16;-0,25
id-1480;-0,33;-0,5
id-1481;-0,2;-0,45
id-1482;0,02;-0,35
id-1483;0,2;-0,3
id-1484;0,33;-0,35
id-1485;0,24;-0,3
id-1486;0,07;-0,4
id-1487;0,24;-0,4
id-1488;0,11;-0,3
id-1489;0,11;-0,35
id-1490;0,11;-0,25
id-1491;0,33;-0,2
id-1492;-0,07;-0,4
id-1493;0,24;-0,25
id-1494;0,11;-0,4
id-1495;0,11;-0,3
id-1496;0,16;-0,25
id-1497;0,42;-0,2
id-1498;0,24;-0,3
id-1499;0,11;-0,3
id-1500;0,11;-0,3
id-1501;0,02;-0,35
id-1502;0,24;-0,3
id-1503;0,16;-0,3
id-1504;0,02;-0,3
id-1505;0,33;-0,3
id-1506;0,11;-0,35
id-1507;0,29;-0,25
id-1508;0,24;-0,33
id-1509;0,33;-0,25
id-1510;0,16;-0,35
id-1511;0,6;-0,1
id-1512;0,16;-0,3
id-1513;0,24;-0,35
id-1514;0,11;-0,35
id-1515;0,29;-0,3
id-1516;0,29;-0,1
id-1517;0,16;-0,3
id-1518;0,11;-0,35
id-1519;0,11;-0,5
id-1520;0,16;-0,25
id-1521;0,16;0
id-1522;0,24;-0,25
id-1523;0,07;-0,35
id-1524;0,2;-0,25
id-1525;0,2;-0,3
id-1526;0,07;-0,3
id-1527;0,42;-0,35
id-1528;0,11;-0,35
id-1529;0,07;-0,25
id-1530;0,56;-0,25
id-1531;0,11;-0,25
id-1532;0,29;-0,25
id-1533;0,2;-0,3
id-1534;0,2;-0,35
id-1535;0,33;-0,2
id-1536;0,11;-0,3
id-1537;0,29;-0,25
id-1538;0,2;-0,3
id-1539;0,2;-0,3
id-1540;0,33;-0,25
id-1541;0,11;-0,4
id-1542;0,16;-0,4
id-1543;0,16;-0,2
id-1544;0,11;-0,35
id-1545;0,33;-0,25
id-1546;0,2;-0,25
id-1547;0,11;-0,3
id-1548;0,42;-0,25
id-1549;0,16;-0,5
id-1550;0,07;-0,4
id-1551;0,2;-0,35
id-1552;0,33;-0,2
id-1553;0,24;-0,25
id-1554;0,07;-0,3
id-1555;0,2;-0,35
id-1556;0,33;-0,35
id-1557;-0,02;-0,45
id-1558;0,2;-0,4
id-1559;0,24;-0,3
id-1560;0,24;-0,25
id-1561;0,24;-0,2
id-1562;0,16;-0,35
id-1563;0,38;-0,3
id-1564;0,24;-0,35
id-1565;0,11;-0,25
id-1566;0,16;-0,4
id-1567;0,24;-0,15
id-1568;0,2;-0,35
id-1569;0,24;-0,35
id-1570;0,11;-0,35
id-1571;0,11;-0,25
id-1572;0,33;-0,2
id-1573;0,11;-0,4
id-1574;0,11;-0,25
id-1575;0,16;-0,35
id-1576;0,16;-0,4
id-1577;0,24;-0,1
id-1578;0,33;-0,35
id-1579;0,33;-0,25
id-1580;0,38;-0,25
id-1581;0,07;-0,15
id-1582;-0,33;-0,3
id-1583;0,16;-0,3
id-1584;0,11;-0,4
id-1585;0,24;-0,25
id-1586;0,11;-0,5
id-1587;0,42;0
id-1588;0,24;-0,35
id-1589;0,2;-0,35
id-1590;0,11;-0,4
id-1591;0,24;-0,3
id-1592;-0,47;-0,3
id-1593;0,24;-0,25
id-1594;0,24;-0,3
id-1595;0,42;-0,25
id-1596;0,42;-0,25
id-1597;0,02;-0,4
id-1598;-0,02;-0,45
id-1599;0,16;-0,3
id-1600;0,38;-0,3
id-1601;0,2;-0,3
id-1602;0,2;-0,35
id-1603;0,11;-0,3
id-1604;0,11;-0,3
id-1605;0,33;-0,25
id-1606;0,02;-0,4
id-1607;0,51;-0,25
id-1608;0,24;-0,3
id-1609;0,2;-0,2
id-1610;0,16;-0,35
id-1611;0,24;-0,2
id-1612;0,2;-0,25
id-1613;0,11;-0,3
id-1614;0,11;-0,2
id-1615;0,11;-0,35
id-1616;0,2;-0,25
id-1617;0,2;-0,3
id-1618;0,33;-0,25
id-1619;0,16;-0,4
id-1620;0,16;-0,25
id-1621;0,24;-0,4
id-1622;0,29;-0,3
id-1623;0,2;-0,35
id-1624;0,11;-0,3
id-1625;0,02;-0,4
id-1626;0,16;-0,25
id-1627;0,24;-0,5
id-1628;-0,11;-0,55
id-1629;0,02;-0,1
id-1630;0,24;-0,25
id-1631;0,42;-0,2
id-1632;0,16;-0,35
id-1633;0,42;-0,18
id-1634;0,16;-0,15
id-1635;0,24;-0,25
id-1636;0,16;-0,15
id-1637;0,24;-0,25
id-1638;0,29;-0,2
id-1639;0,16;-0,35
id-1640;0,24;-0,35
id-1641;0,07;-0,4
id-1642;0,07;-0,45
id-1643;0,24;-0,25
id-1644;0,2;-0,25
id-1645;0,24;-0,25
id-1646;-0,02;-0,28
id-1647;0,29;-0,2
id-1648;0,2;-0,25
id-1649;0,2;-0,3
id-1650;0,11;-0,25
id-1651;0,38;-0,25
id-1652;0,24;-0,25
id-1653;0,24;-0,3
id-1654;0,29;-0,3
id-1655;0,11;-0,3
id-1656;-0,07;-0,5
id-1657;0,16;-0,3
id-1658;0,11;-0,45
id-1659;0,38;-0,15
id-1660;0,16;-0,3
id-1661;0,16;-0,4
id-1662;0,2;-0,25
id-1663;0,29;-0,25
id-1664;0,2;-0,35
id-1665;0,29;-0,15
id-1666;0,2;-0,25
id-1667;0,2;-0,35
id-1668;0,16;-0,2
id-1669;-0,78;-0,58
id-1670;-0,02;-0,55
id-1671;-0,11;-0,55
id-1672;0,16;-0,3
id-1673;0,16;-0,35
id-1674;0,07;-0,45
id-1675;0,24;-0,4
id-1676;0,07;-0,45
id-1677;0,2;-0,3
id-1678;0,33;-0,25
id-1679;0,2;-0,35
id-1680;0,02;-0,3
id-1681;0,16;-0,25
id-1682;0,16;-0,4
id-1683;0,07;-0,38
id-1684;0,16;-0,2
id-1685;0,16;-0,2
id-1686;0,2;-0,3
id-1687;0,24;-0,3
id-1688;0,11;-0,3
id-1689;0,2;-0,3
id-1690;0,24;-0,3
id-1691;-0,02;-0,35
id-1692;0,29;-0,25
id-1693;0,11;-0,3
id-1694;0,33;-0,2
id-1695;0,2;-0,3
id-1696;0,11;-0,4
id-1697;0,24;-0,25
id-1698;0,16;-0,35
id-1699;0,24;-0,2
id-1700;0,16;-0,35
id-1701;-0,11;-0,35
id-1702;0,51;-0,3
id-1703;0,24;-0,3
id-1704;0,16;-0,3
id-1705;0,16;-0,3
id-1706;0,16;-0,45
id-1707;0,51;-0,2
id-1708;0,11;-0,35
id-1709;0,11;-0,35
id-1710;0,16;-0,25
id-1711;-0,16;-0,3
id-1712;0,11;-0,45
id-1713;0,33;-0,25
id-1714;0,29;-0,4
id-1715;0,2;-0,25
id-1716;0,16;-0,25
id-1717;0,24;-0,25
id-1718;0,11;-0,3
id-1719;0,24;-0,25
id-1720;0,2;-0,45
id-1721;0,11;-0,3
id-1722;0,11;-0,4
id-1723;0,2;-0,25
id-1724;0,16;-0,35
id-1725;0,11;-0,28
id-1726;0,02;-0,15
id-1727;0,42;-0,15
id-1728;0,16;-0,35
id-1729;0,2;-0,3
id-1730;0,29;-0,2
id-1731;0,2;-0,4
id-1732;0,16;-0,35
id-1733;0,33;-0,25
id-1734;0,24;-0,3
id-1735;0,11;-0,35
id-1736;0,07;-0,4
id-1737;0,02;-0,4
id-1738;0,16;-0,2
id-1739;0,16;-0,3
id-1740;0,29;-0,25
id-1741;0,11;-0,4
id-1742;0,33;-0,15
id-1743;0,07;-0,25
id-1744;0,29;-0,3
id-1745;0,11;-0,35
id-1746;0,33;-0,25
id-1747;0,11;-0,35
id-1748;0,16;-0,3
id-1749;0,16;-0,35
id-1750;0,2;-0,3
id-1751;-0,02;-0,4
id-1752;0,24;-0,2
id-1753;0,11;-0,35
id-1754;0,24;-0,25
id-1755;-0,07;-0,35
id-1756;0,11;-0,35
id-1757;0,2;-0,3
id-1758;0,24;-0,4
id-1759;0,33;-0,4
id-1760;0,2;-0,35
id-1761;0,11;-0,3
id-1762;0,11;-0,35
id-1763;0,16;-0,35
id-1764;0,11;-0,35
id-1765;0,24;-0,3
id-1766;0,16;-0,35
id-1767;-0,02;-0,4
id-1768;0,16;-0,35
id-1769;0,24;-0,25
id-1770;0,24;-0,25
id-1771;0,16;-0,3
id-1772;0,29;-0,25
id-1773;0,2;-0,3
id-1774;-0,02;-0,45
id-1775;0,16;-0,35
id-1776;0,16;-0,3
id-1777;0,11;-0,4
id-1778;0,24;-0,3
id-1779;0,2;-0,3
id-1780;0,24;-0,2
id-1781;0,02;-0,3
id-1782;0,2;-0,35
id-1783;0,11;-0,3
id-1784;0,29;-0,3
id-1785;0,2;-0,25
id-1786;0,2;-0,3
id-1787;0,11;-0,3
id-1788;0,24;-0,2
id-1789;0,2;-0,3
id-1790;0,2;-0,4
id-1791;0,38;-0,35
id-1792;0,11;-0,3
id-1793;0,2;-0,35
id-1794;0,02;-0,4
id-1795;0,29;-0,15
id-1796;0,24;-0,1
id-1797;0,6;-0,05
id-1798;0,16;-0,2
id-1799;0,02;-0,4
id-1800;0,47;-0,25
id-1801;0,24;-0,3
id-1802;0,24;-0,35
id-1803;0,24;-0,3
id-1804;0,11;-0,35
id-1805;0,24;-0,28
id-1806;0,16;-0,3
id-1807;0,16;-0,25
id-1808;0,11;-0,35
id-1809;0,11;-0,35
id-1810;0,38;-0,2
id-1811;0,2;-0,3
id-1812;0,2;-0,3
id-1813;0,16;-0,35
id-1814;0,29;-0,2
id-1815;0,11;-0,35
id-1816;0,33;-0,25
id-1817;0,24;-0,3
id-1818;0,24;-0,2
id-1819;0,11;-0,3
id-1820;0,38;-0,25
id-1821;0,07;-0,3
id-1822;0,24;0
id-1823;0,38;-0,2
id-1824;0,24;-0,25
id-1825;0,07;-0,25
id-1826;-0,02;-0,3
id-1827;0,24;-0,3
id-1828;0,2;-0,3
id-1829;0,33;-0,25
id-1830;0,16;-0,3
id-1831;0,33;-0,25
id-1832;0,16;-0,3
id-1833;0,2;-0,25
id-1834;0,38;-0,3
id-1835;0,11;-0,4
id-1836;0,16;-0,3
id-1837;0,11;-0,4
id-1838;0,2;-0,3
id-1839;0,11;-0,35
id-1840;0,2;-0,3
id-1841;0,2;-0,35
id-1842;0,11;-0,4
id-1843;0,2;-0,3
id-1844;0,2;-0,25
id-1845;0,29;-0,25
id-1846;0,2;-0,2
id-1847;0,11;-0,35
id-1848;0,2;-0,18
id-1849;0,29;-0,25
id-1850;0,16;-0,25
id-1851;0,29;-0,35
id-1852;-0,02;-0,4
id-1853;0,2;-0,3
id-1854;0,16;-0,4
id-1855;0,2;-0,35
id-1856;0,2;-0,3
id-1857;0,2;-0,3
id-1858;0,11;-0,35
id-1859;0,64;-0,05
id-1860;0,07;-0,4
id-1861;0,2;-0,35
id-1862;0,11;-0,3
id-1863;0,29;-0,25
id-1864;0,11;-0,3
id-1865;0,11;-0,35
id-1866;0,33;-0,35
id-1867;0,11;-0,35
id-1868;0,16;-0,35
id-1869;0,11;-0,4
id-1870;0,16;-0,3
id-1871;0,29;-0,2
id-1872;0,24;-0,25
id-1873;0,16;-0,3
id-1874;0,2;-0,05
id-1875;0,24;-0,25
id-1876;0,24;-0,25
id-1877;0,11;-0,4
id-1878;0,11;-0,35
id-1879;0,16;-0,3
id-1880;0,24;-0,3
id-1881;0,2;-0,35
id-1882;0,11;-0,4
id-1883;0,24;-0,3
id-1884;0,38;-0,2
id-1885;0,2;-0,25
id-1886;0,38;-0,2
id-1887;0,11;-0,35
id-1888;0,07;-0,45
id-1889;0,2;-0,25
id-1890;0,33;-0,25
id-1891;0,24;-0,25
id-1892;0,2;-0,3
id-1893;0,24;-0,3
id-1894;0,2;-0,2
id-1895;0,2;-0,3
id-1896;0,16;-0,3
id-1897;0,11;-0,4
id-1898;0,11;-0,35
id-1899;0,2;-0,3
id-1900;0,11;-0,3
id-1901;0,2;-0,4
id-1902;0,11;-0,3
id-1903;0,2;-0,35
id-1904;0,24;-0,1
id-1905;0,11;-0,35
id-1906;0,2;-0,3
id-1907;0,47;-0,35
id-1908;0,29;-0,15
id-1909;0,2;-0,35
id-1910;0,16;-0,25
id-1911;0,07;-0,35
id-1912;0,11;-0,18
id-1913;0,16;-0,2
id-1914;0,16;-0,3
id-1915;0,24;-0,25
id-1916;0,2;-0,2
id-1917;0,29;-0,3
id-1918;0,2;-0,25
id-1919;0,2;-0,3
id-1920;0,24;-0,25
id-1921;0,24;-0,3
id-1922;0,2;-0,3
id-1923;0,24;-0,15
id-1924;0,51;-0,25
id-1925;0,24;-0,25
id-1926;0,24;-0,35
id-1927;0,02;-0,45
id-1928;0,11;-0,35
id-1929;0,07;-0,35
id-1930;0,42;-0,1
id-1931;0,24;-0,3
id-1932;0,42;-0,15
id-1933;0,24;-0,35
id-1934;0,16;-0,35
id-1935;0,16;-0,3
id-1936;0,33;-0,25
id-1937;0,16;-0,3
id-1938;0,51;-0,25
id-1939;0,24;-0,3
id-1940;0,11;-0,3
id-1941;0,2;-0,25
id-1942;0,11;-0,4
id-1943;0,24;-0,25
id-1944;0,2;-0,25
id-1945;0,29;-0,25
id-1946;0,16;-0,35
id-1947;0,11;-0,4
id-1948;0,24;-0,25
id-1949;0,16;-0,35
id-1950;0,16;-0,35
id-1951;0,11;-0,3
id-1952;-0,07;-0,3
id-1953;0,42;-0,2
id-1954;0,02;-0,4
id-1955;0,29;-0,3
id-1956;0,11;-0,35
id-1957;0,24;-0,4
id-1958;0,24;-0,25
id-1959;0,16;-0,25
id-1960;0,2;-0,3
id-1961;0,29;-0,3
id-1962;0,16;-0,4
id-1963;0,2;-0,3
id-1964;0,11;-0,2
id-1965;0,24;-0,4
id-1966;0,11;-0,25
id-1967;0,29;-0,25
id-1968;0,11;-0,2
id-1969;0,24;-0,2
id-1970;0,33;-0,3
id-1971;0,16;-0,45
id-1972;0,2;-0,45
id-1973;0,11;-0,35
id-1974;0,02;-0,5
id-1975;0,2;-0,35
id-1976;0,11;-0,25
id-1977;0,29;-0,2
id-1978;0,47;-0,3
id-1979;0,42;-0,3
id-1980;0,24;-0,3
id-1981;0,29;-0,35
id-1982;0,2;-0,25
id-1983;0,07;-0,4
id-1984;0,16;-0,25
id-1985;0,24;-0,3
id-1986;0,11;-0,18
id-1987;0,29;-0,2
id-1988;0,16;-0,3
id-1989;0,24;-0,35
id-1990;0,11;-0,35
id-1991;0,2;-0,35
id-1992;0,2;-0,25
id-1993;0,11;-0,4
id-1994;0,33;-0,3
id-1995;0,33;-0,2
id-1996;0,07;-0,45
id-1997;-0,16;-0,55
id-1998;0,38;-0,2
id-1999;0,16;-0,35
id-2000;0,38;-0,25
id-2001;0,2;-0,3
id-2002;0,16;-0,35
id-2003;0,16;-0,25
id-2004;0,11;-0,35
id-2005;0,2;-0,25
id-2006;0,2;-0,25
id-2007;0,11;-0,35
id-2008;0,11;-0,35
id-2009;0,11;-0,35
id-2010;0,24;-0,3
id-2011;0,11;-0,3
id-2012;0,33;-0,25
id-2013;0,2;-0,3
id-2014;0,11;-0,15
id-2015;0,24;-0,25
id-2016;0,29;-0,3
id-2017;0,16;-0,3
id-2018;0,16;-0,4
id-2019;0,11;-0,3
id-2020;0,47;-0,15
id-2021;0,38;-0,15
id-2022;0,2;-0,3
id-2023;0,24;-0,3
id-2024;0,2;-0,25
